2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 108, val: 31
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 109, val: 14
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 10a, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 10b, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 10c, val: 14
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 10d, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 10e, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 10f, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 110, val:  2
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 111, val: ca
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 112, val: 4a
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 113, val: 4a
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 114, val: 64
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 115, val:  0
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 116, val: 65
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 117, val:  8
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 118, val: 3f
2000-01-01 00:01:59Z    0x2ea6a0        task?[225]      AD9362 reg: 119, val:  8
